Label,Total population,Total population!!AGE,Total population!!AGE!!Under 5 years,Total population!!AGE!!5 to 9 years,Total population!!AGE!!10 to 14 years,Total population!!AGE!!15 to 19 years,Total population!!AGE!!20 to 24 years,Total population!!AGE!!25 to 29 years,Total population!!AGE!!30 to 34 years,Total population!!AGE!!35 to 39 years,Total population!!AGE!!40 to 44 years,Total population!!AGE!!45 to 49 years,Total population!!AGE!!50 to 54 years,Total population!!AGE!!55 to 59 years,Total population!!AGE!!60 to 64 years,Total population!!AGE!!65 to 69 years,Total population!!AGE!!70 to 74 years,Total population!!AGE!!75 to 79 years,Total population!!AGE!!80 to 84 years,Total population!!AGE!!85 years and over,Total population!!SELECTED AGE CATEGORIES,Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Total population!!SELECTED AGE CATEGORIES!!Under 18 years,Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Total population!!SELECTED AGE CATEGORIES!!15 to 44 years,Total population!!SELECTED AGE CATEGORIES!!16 years and over,Total population!!SELECTED AGE CATEGORIES!!18 years and over,Total population!!SELECTED AGE CATEGORIES!!21 years and over,Total population!!SELECTED AGE CATEGORIES!!60 years and over,Total population!!SELECTED AGE CATEGORIES!!62 years and over,Total population!!SELECTED AGE CATEGORIES!!65 years and over,Total population!!SELECTED AGE CATEGORIES!!75 years and over,Total population!!SUMMARY INDICATORS,Total population!!SUMMARY INDICATORS!!Median age (years),Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females),Total population!!SUMMARY INDICATORS!!Age dependency ratio,Total population!!SUMMARY INDICATORS!!Old-age dependency ratio,Total population!!SUMMARY INDICATORS!!Child dependency ratio,Total population!!PERCENT ALLOCATED,Total population!!PERCENT ALLOCATED!!Sex,Total population!!PERCENT ALLOCATED!!Age
        Estimate,"1,934,408",,"129,551","131,863","136,832","131,674","132,718","130,734","127,197","131,476","111,576","106,983","109,116","119,981","122,412","99,565","79,500","52,457","39,385","41,388",,"268,695","76,850","475,096","187,542","765,375","1,509,290","1,459,312","1,377,093","434,707","384,839","312,295","133,230",,36.8,99.9,68.6,27.2,41.4,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.70%,6.80%,7.10%,6.80%,6.90%,6.80%,6.60%,6.80%,5.80%,5.50%,5.60%,6.20%,6.30%,5.10%,4.10%,2.70%,2.00%,2.10%,,13.90%,4.00%,24.60%,9.70%,39.60%,78.00%,75.40%,71.20%,22.50%,19.90%,16.10%,6.90%,,(X),(X),(X),(X),(X),,0.10%,2.30%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"966,650",,"67,748","67,190","70,679","68,291","68,437","65,050","65,583","66,078","57,568","54,714","55,768","58,048","61,073","47,643","37,416","24,601","16,300","14,463",,"137,869","39,221","244,838","97,507","391,007","747,731","721,812","677,939","201,496","176,253","140,423","55,364",,35.7,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,7.00%,7.00%,7.30%,7.10%,7.10%,6.70%,6.80%,6.80%,6.00%,5.70%,5.80%,6.00%,6.30%,4.90%,3.90%,2.50%,1.70%,1.50%,,14.30%,4.10%,25.30%,10.10%,40.40%,77.40%,74.70%,70.10%,20.80%,18.20%,14.50%,5.70%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"967,758",,"61,803","64,673","66,153","63,383","64,281","65,684","61,614","65,398","54,008","52,269","53,348","61,933","61,339","51,922","42,084","27,856","23,085","26,925",,"130,826","37,629","230,258","90,035","374,368","761,559","737,500","699,154","233,211","208,586","171,872","77,866",,37.8,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.40%,6.70%,6.80%,6.50%,6.60%,6.80%,6.40%,6.80%,5.60%,5.40%,5.50%,6.40%,6.30%,5.40%,4.30%,2.90%,2.40%,2.80%,,13.50%,3.90%,23.80%,9.30%,38.70%,78.70%,76.20%,72.20%,24.10%,21.60%,17.80%,8.00%,,(X),(X),(X),(X),(X),,(X),(X)
Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"3,080,156",,"184,168","185,324","206,681","184,666","182,851","224,382","224,673","217,006","193,315","201,188","194,916","197,914","184,853","166,724","139,119","95,971","53,613","42,792",,"392,005","114,564","690,737","252,953","1,226,893","2,465,233","2,389,419","2,281,239","683,072","608,048","498,219","192,376",,38.4,100.6,62.9,26.3,36.5,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.00%,6.00%,6.70%,6.00%,5.90%,7.30%,7.30%,7.00%,6.30%,6.50%,6.30%,6.40%,6.00%,5.40%,4.50%,3.10%,1.70%,1.40%,,12.70%,3.70%,22.40%,8.20%,39.80%,80.00%,77.60%,74.10%,22.20%,19.70%,16.20%,6.20%,,(X),(X),(X),(X),(X),,0.00%,2.00%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"1,544,779",,"94,610","92,778","107,967","94,115","93,693","114,131","115,321","109,751","98,242","101,737","99,155","97,978","91,077","80,592","64,613","46,089","24,975","17,955",,"200,745","57,452","352,807","130,356","625,253","1,230,601","1,191,972","1,136,516","325,301","288,233","234,224","89,019",,37.6,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.10%,6.00%,7.00%,6.10%,6.10%,7.40%,7.50%,7.10%,6.40%,6.60%,6.40%,6.30%,5.90%,5.20%,4.20%,3.00%,1.60%,1.20%,,13.00%,3.70%,22.80%,8.40%,40.50%,79.70%,77.20%,73.60%,21.10%,18.70%,15.20%,5.80%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"1,535,377",,"89,558","92,546","98,714","90,551","89,158","110,251","109,352","107,255","95,073","99,451","95,761","99,936","93,776","86,132","74,506","49,882","28,638","24,837",,"191,260","57,112","337,930","122,597","601,640","1,234,632","1,197,447","1,144,723","357,771","319,815","263,995","103,357",,39,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.80%,6.00%,6.40%,5.90%,5.80%,7.20%,7.10%,7.00%,6.20%,6.50%,6.20%,6.50%,6.10%,5.60%,4.90%,3.20%,1.90%,1.60%,,12.50%,3.70%,22.00%,8.00%,39.20%,80.40%,78.00%,74.60%,23.30%,20.80%,17.20%,6.70%,,(X),(X),(X),(X),(X),,(X),(X)
New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"1,359,711",,"64,200","67,001","76,710","87,386","84,664","85,938","84,792","79,575","79,410","86,043","96,086","110,803","103,956","83,687","68,363","43,087","29,143","28,867",,"143,711","48,109","256,020","123,941","501,765","1,137,316","1,103,691","1,045,381","357,103","313,400","253,147","101,097",,43,98,59.9,29.8,30.1,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,4.70%,4.90%,5.60%,6.40%,6.20%,6.30%,6.20%,5.90%,5.80%,6.30%,7.10%,8.10%,7.60%,6.20%,5.00%,3.20%,2.10%,2.10%,,10.60%,3.50%,18.80%,9.10%,36.90%,83.60%,81.20%,76.90%,26.30%,23.00%,18.60%,7.40%,,(X),(X),(X),(X),(X),,0.10%,1.00%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"672,960",,"32,816","35,355","37,664","43,631","44,283","45,463","43,142","38,637","40,817","42,509","48,113","54,553","50,930","41,466","31,589","19,516","12,070","10,406",,"73,019","24,768","130,603","63,146","255,973","559,763","542,357","513,239","165,977","144,012","115,047","41,992",,41.9,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,4.90%,5.30%,5.60%,6.50%,6.60%,6.80%,6.40%,5.70%,6.10%,6.30%,7.10%,8.10%,7.60%,6.20%,4.70%,2.90%,1.80%,1.50%,,10.90%,3.70%,19.40%,9.40%,38.00%,83.20%,80.60%,76.30%,24.70%,21.40%,17.10%,6.20%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"686,751",,"31,384","31,646","39,046","43,755","40,381","40,475","41,650","40,938","38,593","43,534","47,973","56,250","53,026","42,221","36,774","23,571","17,073","18,461",,"70,692","23,341","125,417","60,795","245,792","577,553","561,334","532,142","191,126","169,388","138,100","59,105",,44.4,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,4.60%,4.60%,5.70%,6.40%,5.90%,5.90%,6.10%,6.00%,5.60%,6.30%,7.00%,8.20%,7.70%,6.10%,5.40%,3.40%,2.50%,2.70%,,10.30%,3.40%,18.30%,8.90%,35.80%,84.10%,81.70%,77.50%,27.80%,24.70%,20.10%,8.60%,,(X),(X),(X),(X),(X),,(X),(X)
New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"8,882,190",,"511,925","524,592","563,204","555,206","536,034","576,949","571,509","576,841","567,263","584,884","615,092","620,252","603,364","464,475","372,527","264,771","179,292","194,010",,"1,087,796","338,303","1,938,024","752,937","3,383,802","7,168,432","6,944,166","6,620,377","2,078,439","1,827,849","1,475,075","638,073",,40.2,95.7,62.4,27,35.4,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.80%,5.90%,6.30%,6.30%,6.00%,6.50%,6.40%,6.50%,6.40%,6.60%,6.90%,7.00%,6.80%,5.20%,4.20%,3.00%,2.00%,2.20%,,12.20%,3.80%,21.80%,8.50%,38.10%,80.70%,78.20%,74.50%,23.40%,20.60%,16.60%,7.20%,,(X),(X),(X),(X),(X),,0.10%,2.20%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"4,342,591",,"261,545","271,967","283,870","286,521","272,614","292,669","289,356","286,160","282,837","287,822","299,463","299,622","290,431","218,471","167,409","112,505","73,218","66,111",,"555,837","174,194","991,576","384,941","1,710,157","3,466,022","3,351,015","3,183,257","928,145","808,524","637,714","251,834",,38.7,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.00%,6.30%,6.50%,6.60%,6.30%,6.70%,6.70%,6.60%,6.50%,6.60%,6.90%,6.90%,6.70%,5.00%,3.90%,2.60%,1.70%,1.50%,,12.80%,4.00%,22.80%,8.90%,39.40%,79.80%,77.20%,73.30%,21.40%,18.60%,14.70%,5.80%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"4,539,599",,"250,380","252,625","279,334","268,685","263,420","284,280","282,153","290,681","284,426","297,062","315,629","320,630","312,933","246,004","205,118","152,266","106,074","127,899",,"531,959","164,109","946,448","367,996","1,673,645","3,702,410","3,593,151","3,437,120","1,150,294","1,019,325","837,361","386,239",,41.6,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.50%,5.60%,6.20%,5.90%,5.80%,6.30%,6.20%,6.40%,6.30%,6.50%,7.00%,7.10%,6.90%,5.40%,4.50%,3.40%,2.30%,2.80%,,11.70%,3.60%,20.80%,8.10%,36.90%,81.60%,79.20%,75.70%,25.30%,22.50%,18.40%,8.50%,,(X),(X),(X),(X),(X),,(X),(X)
New Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"2,096,829",,"116,978","130,751","146,207","139,186","137,719","143,017","135,610","141,554","120,293","117,990","117,085","132,366","140,343","124,818","99,193","70,327","42,894","40,498",,"276,958","79,914","473,850","196,991","817,379","1,678,187","1,622,979","1,536,368","518,073","463,304","377,730","153,719",,38.6,97.8,68.4,30.3,38.1,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.60%,6.20%,7.00%,6.60%,6.60%,6.80%,6.50%,6.80%,5.70%,5.60%,5.60%,6.30%,6.70%,6.00%,4.70%,3.40%,2.00%,1.90%,,13.20%,3.80%,22.60%,9.40%,39.00%,80.00%,77.40%,73.30%,24.70%,22.10%,18.00%,7.30%,,(X),(X),(X),(X),(X),,0.00%,1.70%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"1,036,708",,"60,204","67,458","72,416","75,963","69,445","72,937","68,957","70,216","62,584","58,492","56,419","63,747","65,364","57,999","47,634","31,681","19,657","15,535",,"139,874","42,166","242,244","103,242","420,102","822,856","794,464","747,300","237,870","211,084","172,506","66,873",,37.2,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.80%,6.50%,7.00%,7.30%,6.70%,7.00%,6.70%,6.80%,6.00%,5.60%,5.40%,6.10%,6.30%,5.60%,4.60%,3.10%,1.90%,1.50%,,13.50%,4.10%,23.40%,10.00%,40.50%,79.40%,76.60%,72.10%,22.90%,20.40%,16.60%,6.50%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"1,060,121",,"56,774","63,293","73,791","63,223","68,274","70,080","66,653","71,338","57,709","59,498","60,666","68,619","74,979","66,819","51,559","38,646","23,237","24,963",,"137,084","37,748","231,606","93,749","397,277","855,331","828,515","789,068","280,203","252,220","205,224","86,846",,39.8,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.40%,6.00%,7.00%,6.00%,6.40%,6.60%,6.30%,6.70%,5.40%,5.60%,5.70%,6.50%,7.10%,6.30%,4.90%,3.60%,2.20%,2.40%,,12.90%,3.60%,21.80%,8.80%,37.50%,80.70%,78.20%,74.40%,26.40%,23.80%,19.40%,8.20%,,(X),(X),(X),(X),(X),,(X),(X)
New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"19,453,561",,"1,119,825","1,052,163","1,164,223","1,187,268","1,265,348","1,459,455","1,405,946","1,256,240","1,173,866","1,196,601","1,275,066","1,319,671","1,281,921","1,018,302","845,590","583,528","408,916","439,632",,"2,216,386","685,885","4,022,096","1,766,731","7,748,123","15,895,561","15,431,465","14,674,437","4,577,889","4,044,590","3,295,968","1,432,076",,39.2,94.5,60.3,27.2,33.1,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.80%,5.40%,6.00%,6.10%,6.50%,7.50%,7.20%,6.50%,6.00%,6.20%,6.60%,6.80%,6.60%,5.20%,4.30%,3.00%,2.10%,2.30%,,11.40%,3.50%,20.70%,9.10%,39.80%,81.70%,79.30%,75.40%,23.50%,20.80%,16.90%,7.40%,,(X),(X),(X),(X),(X),,0.10%,2.20%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"9,450,810",,"573,384","540,368","596,605","606,840","632,805","728,335","707,042","625,275","572,584","581,534","619,252","633,557","611,428","477,776","379,081","251,402","158,705","154,837",,"1,136,973","351,883","2,062,240","887,762","3,872,881","7,625,130","7,388,570","7,001,388","2,033,229","1,779,159","1,421,801","564,944",,37.6,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.10%,5.70%,6.30%,6.40%,6.70%,7.70%,7.50%,6.60%,6.10%,6.20%,6.60%,6.70%,6.50%,5.10%,4.00%,2.70%,1.70%,1.60%,,12.00%,3.70%,21.80%,9.40%,41.00%,80.70%,78.20%,74.10%,21.50%,18.80%,15.00%,6.00%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"10,002,751",,"546,441","511,795","567,618","580,428","632,543","731,120","698,904","630,965","601,282","615,067","655,814","686,114","670,493","540,526","466,509","332,126","250,211","284,795",,"1,079,413","334,002","1,959,856","878,969","3,875,242","8,270,431","8,042,895","7,673,049","2,544,660","2,265,431","1,874,167","867,132",,40.8,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.50%,5.10%,5.70%,5.80%,6.30%,7.30%,7.00%,6.30%,6.00%,6.10%,6.60%,6.90%,6.70%,5.40%,4.70%,3.30%,2.50%,2.80%,,10.80%,3.30%,19.60%,8.80%,38.70%,82.70%,80.40%,76.70%,25.40%,22.60%,18.70%,8.70%,,(X),(X),(X),(X),(X),,(X),(X)
North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"10,488,084",,"596,583","615,543","686,687","713,066","689,128","715,026","686,637","657,180","655,481","692,224","670,976","700,481","658,137","562,108","485,382","319,614","199,537","184,294",,"1,302,230","395,159","2,293,972","1,007,035","4,116,518","8,457,219","8,194,112","7,730,808","2,409,072","2,131,408","1,750,935","703,445",,39.1,94.4,62.8,27.2,35.6,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.70%,5.90%,6.50%,6.80%,6.60%,6.80%,6.50%,6.30%,6.20%,6.60%,6.40%,6.70%,6.30%,5.40%,4.60%,3.00%,1.90%,1.80%,,12.40%,3.80%,21.90%,9.60%,39.20%,80.60%,78.10%,73.70%,23.00%,20.30%,16.70%,6.70%,,(X),(X),(X),(X),(X),,0.10%,1.50%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"5,094,327",,"308,544","315,965","346,689","359,439","365,282","352,172","333,734","315,351","322,114","337,091","327,413","332,743","312,109","256,387","221,189","138,247","82,760","67,098",,"662,654","200,951","1,172,149","523,770","2,048,092","4,055,760","3,922,178","3,689,945","1,077,790","946,482","765,681","288,105",,37.6,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.10%,6.20%,6.80%,7.10%,7.20%,6.90%,6.60%,6.20%,6.30%,6.60%,6.40%,6.50%,6.10%,5.00%,4.30%,2.70%,1.60%,1.30%,,13.00%,3.90%,23.00%,10.30%,40.20%,79.60%,77.00%,72.40%,21.20%,18.60%,15.00%,5.70%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"5,393,757",,"288,039","299,578","339,998","353,627","323,846","362,854","352,903","341,829","333,367","355,133","343,563","367,738","346,028","305,721","264,193","181,367","116,777","117,196",,"639,576","194,208","1,121,823","483,265","2,068,426","4,401,459","4,271,934","4,040,863","1,331,282","1,184,926","985,254","415,340",,40.5,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.30%,5.60%,6.30%,6.60%,6.00%,6.70%,6.50%,6.30%,6.20%,6.60%,6.40%,6.80%,6.40%,5.70%,4.90%,3.40%,2.20%,2.20%,,11.90%,3.60%,20.80%,9.00%,38.30%,81.60%,79.20%,74.90%,24.70%,22.00%,18.30%,7.70%,,(X),(X),(X),(X),(X),,(X),(X)
North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"762,062",,"50,567","48,953","50,415","46,933","60,819","63,936","53,638","54,162","41,875","37,071","39,457","47,196","46,863","40,657","26,624","20,997","13,824","18,075",,"99,368","26,771","176,706","80,981","321,363","602,982","585,356","553,228","167,040","146,102","120,177","52,896",,35.5,103.9,63.8,25.8,38,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.60%,6.40%,6.60%,6.20%,8.00%,8.40%,7.00%,7.10%,5.50%,4.90%,5.20%,6.20%,6.10%,5.30%,3.50%,2.80%,1.80%,2.40%,,13.00%,3.50%,23.20%,10.60%,42.20%,79.10%,76.80%,72.60%,21.90%,19.20%,15.80%,6.90%,,(X),(X),(X),(X),(X),,0.10%,1.70%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"388,339",,"26,786","24,892","25,861","23,934","32,351","34,088","28,495","28,121","22,468","18,582","20,206","22,647","24,736","20,255","12,926","10,030","5,799","6,162",,"50,753","12,619","90,158","43,666","169,457","306,933","298,181","280,593","79,908","68,808","55,172","21,991",,34.6,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.90%,6.40%,6.70%,6.20%,8.30%,8.80%,7.30%,7.20%,5.80%,4.80%,5.20%,5.80%,6.40%,5.20%,3.30%,2.60%,1.50%,1.60%,,13.10%,3.20%,23.20%,11.20%,43.60%,79.00%,76.80%,72.30%,20.60%,17.70%,14.20%,5.70%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"373,723",,"23,781","24,061","24,554","22,999","28,468","29,848","25,143","26,041","19,407","18,489","19,251","24,549","22,127","20,402","13,698","10,967","8,025","11,913",,"48,615","14,152","86,548","37,315","151,906","296,049","287,175","272,635","87,132","77,294","65,005","30,905",,36.6,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.40%,6.40%,6.60%,6.20%,7.60%,8.00%,6.70%,7.00%,5.20%,4.90%,5.20%,6.60%,5.90%,5.50%,3.70%,2.90%,2.10%,3.20%,,13.00%,3.80%,23.20%,10.00%,40.60%,79.20%,76.80%,73.00%,23.30%,20.70%,17.40%,8.30%,,(X),(X),(X),(X),(X),,(X),(X)
Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"11,689,100",,"686,672","690,188","752,389","766,270","743,776","794,615","750,102","721,158","682,990","718,103","733,236","793,376","812,677","664,701","522,940","369,145","243,790","242,972",,"1,442,577","445,598","2,574,847","1,064,448","4,458,911","9,407,641","9,114,253","8,627,797","2,856,225","2,525,748","2,043,548","855,907",,39.6,96.2,65.3,28.9,36.4,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.90%,5.90%,6.40%,6.60%,6.40%,6.80%,6.40%,6.20%,5.80%,6.10%,6.30%,6.80%,7.00%,5.70%,4.50%,3.20%,2.10%,2.10%,,12.30%,3.80%,22.00%,9.10%,38.10%,80.50%,78.00%,73.80%,24.40%,21.60%,17.50%,7.30%,,(X),(X),(X),(X),(X),,0.10%,0.90%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"5,732,207",,"355,506","353,621","383,722","390,109","378,281","402,444","375,956","354,517","343,040","357,631","360,877","389,514","387,076","314,028","240,416","161,085","99,286","85,098",,"737,343","227,523","1,320,372","540,867","2,244,347","4,563,595","4,411,835","4,165,123","1,286,989","1,131,708","899,913","345,469",,38.2,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.20%,6.20%,6.70%,6.80%,6.60%,7.00%,6.60%,6.20%,6.00%,6.20%,6.30%,6.80%,6.80%,5.50%,4.20%,2.80%,1.70%,1.50%,,12.90%,4.00%,23.00%,9.40%,39.20%,79.60%,77.00%,72.70%,22.50%,19.70%,15.70%,6.00%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"5,956,893",,"331,166","336,567","368,667","376,161","365,495","392,171","374,146","366,641","339,950","360,472","372,359","403,862","425,601","350,673","282,524","208,060","144,504","157,874",,"705,234","218,075","1,254,475","523,581","2,214,564","4,844,046","4,702,418","4,462,674","1,569,236","1,394,040","1,143,635","510,438",,40.9,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.60%,5.70%,6.20%,6.30%,6.10%,6.60%,6.30%,6.20%,5.70%,6.10%,6.30%,6.80%,7.10%,5.90%,4.70%,3.50%,2.40%,2.70%,,11.80%,3.70%,21.10%,8.80%,37.20%,81.30%,78.90%,74.90%,26.30%,23.40%,19.20%,8.60%,,(X),(X),(X),(X),(X),,(X),(X)
Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"3,956,971",,"251,083","262,753","280,191","273,627","270,073","271,492","265,507","264,485","237,031","230,154","222,566","249,998","242,789","203,397","165,066","114,531","77,955","74,273",,"542,944","158,202","952,229","385,498","1,582,215","3,110,626","3,004,742","2,831,196","878,011","780,134","635,222","266,759",,37,98.4,67,26.8,40.2,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.30%,6.60%,7.10%,6.90%,6.80%,6.90%,6.70%,6.70%,6.00%,5.80%,5.60%,6.30%,6.10%,5.10%,4.20%,2.90%,2.00%,1.90%,,13.70%,4.00%,24.10%,9.70%,40.00%,78.60%,75.90%,71.50%,22.20%,19.70%,16.10%,6.70%,,(X),(X),(X),(X),(X),,0.10%,1.70%
